Virus Name,Virus Protein,Host protein
SARS-CoV-1,nsp13,Q8WWI1
SARS-CoV-1,nsp13,Q9Y2I6
SARS-CoV-1,nsp14,O95714
SARS-CoV-1,nsp14,P06280
SARS-CoV-1,nsp14,P12268
SARS-CoV-1,nsp14,Q96JN8
SARS-CoV-1,nsp14,Q9NXA8
SARS-CoV-1,nsp15,P62330
SARS-CoV-1,nsp16,O60232
SARS-CoV-1,nsp16,P28838
SARS-CoV-1,nsp16,Q567U6
SARS-CoV-1,nsp16,Q5SVZ6
SARS-CoV-1,nsp16,Q8IUD2
SARS-CoV-1,nsp16,Q8TEM1
SARS-CoV-1,nsp16,Q9UKF6
SARS-CoV-1,nsp16,Q9Y2S7
SARS-CoV-1,nsp2,O00303
SARS-CoV-1,nsp2,O15372
SARS-CoV-1,nsp2,O60573
SARS-CoV-1,nsp2,O75821
SARS-CoV-1,nsp2,O75822
SARS-CoV-1,nsp2,P52306
SARS-CoV-1,nsp2,P60228
SARS-CoV-1,nsp2,Q14152
SARS-CoV-1,nsp2,Q6NUN9
SARS-CoV-1,nsp2,Q6Y7W6
SARS-CoV-1,nsp2,Q7L2H7
SARS-CoV-1,nsp2,Q86UK7
SARS-CoV-1,nsp2,Q99613
SARS-CoV-1,nsp2,Q9C037
SARS-CoV-1,nsp2,Q9UBQ5
SARS-CoV-1,nsp2,Q9Y262
SARS-CoV-1,nsp2,O15371
SARS-CoV-1,nsp2,P55884
SARS-CoV-1,nsp2,Q13347
SARS-CoV-1,nsp4,P14735
SARS-CoV-1,nsp4,P62699
SARS-CoV-1,nsp4,Q6VN20
SARS-CoV-1,nsp4,Q7L5Y9
SARS-CoV-1,nsp4,Q96S59
SARS-CoV-1,nsp4,Q9H7D7
SARS-CoV-1,nsp4,Q9H871
SARS-CoV-1,nsp4,Q9NWU2
SARS-CoV-1,nsp5_C145A,P07203
SARS-CoV-1,nsp5_C145A,Q9NXH9
SARS-CoV-1,nsp6,Q99720
SARS-CoV-1,nsp7,A8MTT3
SARS-CoV-1,nsp7,O94766
SARS-CoV-1,nsp7,P00387
SARS-CoV-1,nsp7,P61006
SARS-CoV-1,nsp7,Q12907
SARS-CoV-1,nsp7,Q2TAA5
SARS-CoV-1,nsp7,Q5VT66
SARS-CoV-1,nsp7,Q6P1Q0
SARS-CoV-1,nsp7,Q6ZRP7
SARS-CoV-1,nsp7,Q7LGA3
SARS-CoV-1,nsp7,Q8IUR0
SARS-CoV-1,nsp7,Q8NBX0
SARS-CoV-1,nsp7,Q8WTV0
SARS-CoV-1,nsp7,Q8WUY8
SARS-CoV-1,nsp7,Q96A26
SARS-CoV-1,nsp7,Q96ER9
SARS-CoV-1,nsp7,Q96KC8
SARS-CoV-1,nsp7,Q9BQE4
SARS-CoV-1,nsp7,Q9H7Z7
SARS-CoV-1,nsp7,Q9NYP7
SARS-CoV-1,nsp7,Q9Y3D7
SARS-CoV-1,nsp8,O00566
SARS-CoV-1,nsp8,O76094
SARS-CoV-1,nsp8,O95260
SARS-CoV-1,nsp8,P09132
SARS-CoV-1,nsp8,Q13206
SARS-CoV-1,nsp8,Q14692
SARS-CoV-1,nsp8,Q15397
SARS-CoV-1,nsp8,Q4G0J3
SARS-CoV-1,nsp8,Q7L2J0
SARS-CoV-1,nsp8,Q8IY37
SARS-CoV-1,nsp8,Q8N983
SARS-CoV-1,nsp8,Q96B26
SARS-CoV-1,nsp8,Q96FK6
SARS-CoV-1,nsp8,Q9BSC4
SARS-CoV-1,nsp8,Q9H6F5
SARS-CoV-1,nsp8,Q9NY61
SARS-CoV-1,nsp8,Q9UGI8
SARS-CoV-1,nsp8,Q9UL40
SARS-CoV-1,nsp8,Q9ULT8
SARS-CoV-1,nsp8,P82675
SARS-CoV-1,nsp8,Q8NEJ9
SARS-CoV-1,nsp8,Q9NQT4
SARS-CoV-1,nsp8,Q9NQT5
SARS-CoV-1,nsp8,Q9Y3B7
SARS-CoV-1,nsp9,O00142
SARS-CoV-1,nsp9,P35556
SARS-CoV-1,nsp9,P61962
SARS-CoV-1,nsp9,Q14232
SARS-CoV-1,nsp9,Q86YT6
SARS-CoV-1,nsp9,Q8N0X7
SARS-CoV-1,nsp9,Q8N1G2
SARS-CoV-1,nsp9,Q8TD19
SARS-CoV-1,orf3a,O95573
SARS-CoV-1,orf3a,Q92734
SARS-CoV-1,orf3a,Q96S66
SARS-CoV-1,orf6,P52948
SARS-CoV-1,orf6,P78406
SARS-CoV-1,orf6,Q96AQ6
SARS-CoV-1,orf6,Q9BWH2
SARS-CoV-1,orf6,Q9HBL7
SARS-CoV-1,orf6,P35658
SARS-CoV-1,orf7a,O14787
SARS-CoV-1,orf7a,O75691
SARS-CoV-1,orf7a,P42345
SARS-CoV-1,orf7a,P46459
SARS-CoV-1,orf7a,Q5VYK3
SARS-CoV-1,orf7a,Q7L1Q6
SARS-CoV-1,orf7a,Q7Z4Q2
SARS-CoV-1,orf7a,Q9Y263
SARS-CoV-1,orf7a,Q9Y678
SARS-CoV-1,orf7a,Q9Y6E2
SARS-CoV-1,orf7a,Q92616
SARS-CoV-1,orf8a,O60568
SARS-CoV-1,orf8a,P07237
SARS-CoV-1,orf8a,P27797
SARS-CoV-1,orf8a,P40855
SARS-CoV-1,orf8a,Q02809
SARS-CoV-1,orf8a,Q15006
SARS-CoV-1,orf8a,Q4G0I0
SARS-CoV-1,orf8a,Q6NUQ4
SARS-CoV-1,orf8a,Q8N766
SARS-CoV-1,orf8a,Q8NBJ5
SARS-CoV-1,orf8a,Q96AY3
SARS-CoV-1,orf8a,Q96HE7
SARS-CoV-1,orf8a,Q9BRT2
SARS-CoV-1,orf8a,Q9BS26
SARS-CoV-1,orf8a,Q9H488
SARS-CoV-1,orf8a,Q9NPA0
SARS-CoV-1,orf8a,Q9NVA1
SARS-CoV-1,orf8a,Q9NYU2
SARS-CoV-1,orf8a,Q9UMX5
SARS-CoV-1,orf8a,P13667
SARS-CoV-1,orf8b,O75439
SARS-CoV-1,orf8b,P46199
SARS-CoV-1,orf8b,Q10713
SARS-CoV-1,orf8b,Q5JRX3
SARS-CoV-1,orf9b,O94826
SARS-CoV-1,orf9b,O95229
SARS-CoV-1,orf9b,O95817
SARS-CoV-1,orf9b,P27448
SARS-CoV-1,orf9b,P35813
SARS-CoV-1,orf9b,P43686
SARS-CoV-1,orf9b,Q00341
SARS-CoV-1,orf9b,Q13643
SARS-CoV-1,orf9b,Q14192
SARS-CoV-1,orf9b,Q15013
SARS-CoV-1,orf9b,Q6NSI4
SARS-CoV-1,orf9b,Q7KZF4
SARS-CoV-1,orf9b,Q7KZI7
SARS-CoV-1,orf9b,Q8NBA8
SARS-CoV-1,orf9b,Q9P0L2
SARS-CoV-1,orf9b,Q9UHD1
SARS-CoV-1,orf9b,Q9UL15
SARS-CoV-1,orf9b,Q9UNE7
SARS-CoV-1,orf9c,B2RTY4
SARS-CoV-1,orf9c,O95295
SARS-CoV-1,orf9c,P27540
SARS-CoV-1,orf9c,P28340
SARS-CoV-1,orf9c,Q15067
SARS-CoV-1,orf9c,Q5JSJ4
SARS-CoV-1,orf9c,Q5T4S7
SARS-CoV-1,orf9c,Q6NUM9
SARS-CoV-1,orf9c,Q7Z3B4
SARS-CoV-1,orf9c,Q8N2G8
SARS-CoV-1,orf9c,Q96DF8
SARS-CoV-1,orf9c,Q9C0C7
SARS-CoV-1,orf9c,Q9H4Z3
SARS-CoV-1,orf9c,Q9H8K7
SARS-CoV-1,orf9c,Q9NRD5
SARS-CoV-1,orf9c,Q9NSE4
SARS-CoV-1,orf9c,Q9NT22
SARS-CoV-1,orf9c,Q9NU22
SARS-CoV-1,orf9c,Q9NXK8
SARS-CoV-1,orf9c,Q9P2E5
SARS-CoV-1,orf9c,Q9UH62
SARS-CoV-1,orf9c,Q9UL03
SARS-CoV-1,orf9c,Q9Y276
MERS,E,O15270
MERS,E,O43505
MERS,E,O75787
MERS,E,P01861
MERS,E,Q5T9L3
MERS,E,Q6DD88
MERS,E,Q8IZ52
MERS,E,Q8WVM8
MERS,E,Q8WY22
MERS,E,Q9BTV4
MERS,E,Q9NPI6
MERS,E,Q9UBS3
MERS,E,Q9Y5L0
MERS,M,O94822
MERS,M,O95674
MERS,M,Q68DH5
MERS,M,Q6P3X3
MERS,M,Q8NDZ4
MERS,M,Q8TEM1
MERS,M,Q92616
MERS,M,Q96EC8
MERS,M,Q9BSJ2
MERS,M,Q9BV40
MERS,M,Q9BYC5
MERS,M,Q9H0V9
MERS,M,Q9H583
MERS,M,Q9NVI1
MERS,M,Q9NX47
MERS,M,Q9UI26
MERS,M,Q9Y4R8
MERS,N,P19784
MERS,N,P68400
MERS,N,Q15435
MERS,S,P09382
MERS,nsp1,O60220
MERS,nsp1,P40763
MERS,nsp1,P42345
MERS,nsp1,Q05516
MERS,nsp10,P28330
MERS,nsp10,Q9BZH6
MERS,nsp10,Q9C026
MERS,nsp11,O14734
MERS,nsp13,O95613
MERS,nsp13,P09493
MERS,nsp13,P13861
MERS,nsp13,P14649
MERS,nsp13,P17612
MERS,nsp13,P31323
MERS,nsp13,P49454
MERS,nsp13,P67936
MERS,nsp13,Q08378
MERS,nsp13,Q08379
MERS,nsp13,Q12965
MERS,nsp13,Q15154
MERS,nsp13,Q16881
MERS,nsp13,Q5VU43
MERS,nsp13,Q66GS9
MERS,nsp13,Q8IUD2
MERS,nsp13,Q8IWJ2
MERS,nsp13,Q8N4C6
MERS,nsp13,Q8NDN9
MERS,nsp13,Q8TD10
MERS,nsp13,Q96SN8
MERS,nsp13,Q99996
MERS,nsp13,Q9BQS8
MERS,nsp13,Q9BV73
MERS,nsp13,Q9C0B0
MERS,nsp13,Q9UNZ2
MERS,nsp13,Q9Y2I6
MERS,nsp13,P35579
MERS,nsp13,Q9UPN4
MERS,nsp14,O95071
MERS,nsp14,P04637
MERS,nsp14,P30153
MERS,nsp14,P49959
MERS,nsp14,P63151
MERS,nsp14,Q5QP82
MERS,nsp14,Q5T9A4
MERS,nsp14,Q92878
MERS,nsp14,Q96EN8
MERS,nsp14,Q9NQX3
MERS,nsp15,A0A0B4J1Y9
MERS,nsp16,A3KMH1
MERS,nsp16,O95835
MERS,nsp16,P11717
MERS,nsp16,P43686
MERS,nsp16,P51659
MERS,nsp16,P54802
MERS,nsp16,Q13438
MERS,nsp16,Q15796
MERS,nsp16,Q6PJI9
MERS,nsp16,Q8IWR1
MERS,nsp16,Q92995
MERS,nsp16,Q96DZ1
MERS,nsp16,Q96IV0
MERS,nsp16,Q96RU2
MERS,nsp16,Q9P209
MERS,nsp16,Q9ULA0
MERS,nsp16,Q9Y305
MERS,nsp16,Q9UBV2
MERS,nsp2,O00186
MERS,nsp2,O00746
MERS,nsp2,P00387
MERS,nsp2,P15954
MERS,nsp2,P16435
MERS,nsp2,Q10471
MERS,nsp2,Q13423
MERS,nsp2,Q15650
MERS,nsp2,Q5SZL2
MERS,nsp2,Q5VT66
MERS,nsp2,Q6NUN9
MERS,nsp2,Q6Y7W6
MERS,nsp2,Q8N3C0
MERS,nsp2,Q8N9N2
MERS,nsp2,Q8NBU5
MERS,nsp2,Q8TF46
MERS,nsp2,Q8WVC6
MERS,nsp2,Q96A26
MERS,nsp2,Q96B26
MERS,nsp2,Q96D09
MERS,nsp2,Q99613
MERS,nsp2,Q9BQ70
MERS,nsp2,Q9H1I8
MERS,nsp2,Q9HD20
MERS,nsp2,Q9UH62
MERS,nsp2,Q9UPQ9
MERS,nsp2,Q7L2H7
MERS,nsp4,P13674
MERS,nsp4,P49257
MERS,nsp4,Q13586
MERS,nsp4,Q8NBJ7
MERS,nsp4,Q8NFQ8
MERS,nsp4,Q92643
MERS,nsp4,Q969N2
MERS,nsp4,Q96S52
MERS,nsp5_C148A,O15014
MERS,nsp5_C148A,O75629
MERS,nsp5_C148A,P15170
MERS,nsp5_C148A,P15923
MERS,nsp5_C148A,P19447
MERS,nsp5_C148A,P29558
MERS,nsp5_C148A,P52952
MERS,nsp5_C148A,Q12948
MERS,nsp5_C148A,Q14244
MERS,nsp5_C148A,Q15032
MERS,nsp5_C148A,Q15118
MERS,nsp5_C148A,Q6ZRY4
MERS,nsp5_C148A,Q7KZI7
MERS,nsp5_C148A,Q8IX12
MERS,nsp5_C148A,Q8NBN7
MERS,nsp5_C148A,Q8NHV4
MERS,nsp5_C148A,Q9NYZ3
MERS,nsp6,P25685
MERS,nsp6,Q9UDY4
MERS,nsp7,A8MTT3
MERS,nsp7,O14975
MERS,nsp7,O94766
MERS,nsp7,O95159
MERS,nsp7,O95573
MERS,nsp7,Q13724
MERS,nsp7,Q53H12
MERS,nsp7,Q6P1M0
MERS,nsp7,Q6P1Q0
MERS,nsp7,Q6ZRP7
MERS,nsp7,Q8N2K0
MERS,nsp7,Q8N9F7
MERS,nsp7,Q8NBU5
MERS,nsp7,Q8WUY8
MERS,nsp7,Q8WVC6
MERS,nsp7,Q96A26
MERS,nsp7,Q9BQE4
MERS,nsp7,Q9H7Z7
MERS,nsp7,Q9NX40
MERS,nsp7,Q9Y5J7
MERS,nsp8,O15381
MERS,nsp8,O60287
MERS,nsp8,O95373
MERS,nsp8,O95707
MERS,nsp8,P10644
MERS,nsp8,P42285
MERS,nsp8,P51114
MERS,nsp8,P51116
MERS,nsp8,Q03701
MERS,nsp8,Q12788
MERS,nsp8,Q13206
MERS,nsp8,Q14146
MERS,nsp8,Q15269
MERS,nsp8,Q16531
MERS,nsp8,Q76FK4
MERS,nsp8,Q7Z4Q2
MERS,nsp8,Q8IX01
MERS,nsp8,Q8N5D0
MERS,nsp8,Q8NI36
MERS,nsp8,Q8TC07
MERS,nsp8,Q99547
MERS,nsp8,Q9BSC4
MERS,nsp8,Q9GZL7
MERS,nsp8,Q9H6R4
MERS,nsp8,Q9NTK5
MERS,nsp8,Q9UHG3
MERS,nsp8,Q9ULX6
MERS,nsp8,Q9Y3A4
MERS,nsp8,Q13823
MERS,nsp8,Q15050
MERS,nsp8,Q8IY81
MERS,nsp8,Q96GQ7
MERS,nsp8,Q99848
MERS,nsp8,Q9NY61
MERS,nsp8,Q9Y3B2
MERS,nsp9,O00233
MERS,nsp9,P21281
MERS,nsp9,P38606
MERS,nsp9,P41250
MERS,nsp9,P49419
MERS,nsp9,P62310
MERS,nsp9,Q5SW79
MERS,nsp9,Q6SZW1
MERS,nsp9,Q86YT6
MERS,nsp9,Q8IWP9
MERS,nsp9,Q96PM5
MERS,nsp9,Q9BU61
MERS,orf3,P13489
MERS,orf3,P15531
MERS,orf3,P27361
MERS,orf3,P28482
MERS,orf3,P29144
MERS,orf3,P54727
MERS,orf3,Q14145
MERS,orf3,Q8N129
MERS,orf3,Q9NQH7
MERS,orf3,Q9UBE0
MERS,orf4a,O00566
MERS,orf4a,O43818
MERS,orf4a,O75569
MERS,orf4a,O76094
MERS,orf4a,P09132
MERS,orf4a,P38935
MERS,orf4a,P49189
MERS,orf4a,P51398
MERS,orf4a,P61011
MERS,orf4a,P82663
MERS,orf4a,P82675
MERS,orf4a,Q02040
MERS,orf4a,Q15434
MERS,orf4a,Q49MG5
MERS,orf4a,Q4G0J3
MERS,orf4a,Q5VV52
MERS,orf4a,Q5VYS8
MERS,orf4a,Q68D10
MERS,orf4a,Q6DD87
MERS,orf4a,Q7KZI7
MERS,orf4a,Q7L2J0
MERS,orf4a,Q86W50
MERS,orf4a,Q86XZ4
MERS,orf4a,Q8IY37
MERS,orf4a,Q8IZ69
MERS,orf4a,Q8N567
MERS,orf4a,Q92552
MERS,orf4a,Q96EL2
MERS,orf4a,Q96EU6
MERS,orf4a,Q96G21
MERS,orf4a,Q96KR1
MERS,orf4a,Q96RS0
MERS,orf4a,Q9BST9
MERS,orf4a,Q9BXR0
MERS,orf4a,Q9H6F5
MERS,orf4a,Q9H6S0
MERS,orf4a,Q9HC52
MERS,orf4a,Q9P015
MERS,orf4a,Q9UHA3
MERS,orf4a,Q9UL40
MERS,orf4a,Q9UPY3
MERS,orf4a,Q9Y291
MERS,orf4a,Q9Y2Q9
MERS,orf4a,Q9Y399
MERS,orf4a,Q9Y3A2
MERS,orf4a,P82914
MERS,orf4a,P82933
MERS,orf4a,Q9Y3B7
MERS,orf4b,O00505
MERS,orf4b,O00629
MERS,orf4b,O15131
MERS,orf4b,O60684
MERS,orf4b,O60930
MERS,orf4b,P49790
MERS,orf4b,P52292
MERS,orf4b,P52294
MERS,orf4b,Q07021
MERS,orf4b,Q93009
MERS,orf4b,Q9UKX7
MERS,orf4b,Q9Y2E5
MERS,orf5,P02786
MERS,orf5,P11441
MERS,orf5,P46379
MERS,orf5,P81408
MERS,orf5,Q96S66
SARS-CoV-1,ORF7A,P62310
SARS-CoV-1,NSP12,P01275
SARS-CoV-1,ORF7A,P82663
SARS-CoV-1,N,Q8WVV9
SARS-CoV-1,ORF3A,Q15459
SARS-CoV-1,N,Q9Y467
SARS-CoV-1,NSP1,Q8N6G5
SARS-CoV-1,ORF8A,Q9Y467
SARS-CoV-1,ORF7B,Q7Z7F0
SARS-CoV-1,NSP13,Q8TAX7
SARS-CoV-1,NSP2,P52952
SARS-CoV-1,NSP12,P51570
SARS-CoV-1,ORF6,P27338
SARS-CoV-1,E,P27338
SARS-CoV-1,NSP5,P25445
SARS-CoV-1,E,P51884
SARS-CoV-1,NSP12,P59665
SARS-CoV-1,NSP14,Q9BY32
SARS-CoV-1,ORF7B,P49441
SARS-CoV-1,NSP13,P29508
SARS-CoV-1,ORF6,Q15233
SARS-CoV-1,S,Q9BYF1
SARS-CoV-1,M,O95786
SARS-CoV-1,M,Q14164
SARS-CoV-1,M,Q9UHD2
SARS-CoV-1,M,Q13114
SARS-CoV-1,N,P62937
SARS-CoV-1,NSP3,Q14653
SARS-CoV-1,NSP3,P05161
SARS-CoV-1,NSP3,Q86WV6
SARS-CoV-1,S,O15393
SARS-CoV-1,E,Q07817
SARS-CoV-1,E,Q86U86
SARS-CoV-1,E,O00560
SARS-CoV-1,M,O14920
SARS-CoV-1,M,Q9UNL2
SARS-CoV-1,N,P68104
SARS-CoV-1,N,P49840
SARS-CoV-1,N,P49841
SARS-CoV-1,N,P09651
SARS-CoV-1,N,O75569
SARS-CoV-1,N,P63279
SARS-CoV-1,NSP1,Q14008
SARS-CoV-1,NSP1,O75131
SARS-CoV-1,NSP1,Q9BTC0
SARS-CoV-1,NSP1,P62942
SARS-CoV-1,NSP1,Q9Y4W2
SARS-CoV-1,NSP1,P62937
SARS-CoV-1,NSP1,Q13427
SARS-CoV-1,NSP1,O43447
SARS-CoV-1,NSP1,Q9UKA8
SARS-CoV-1,NSP1,P35250
SARS-CoV-1,NSP1,P78345
SARS-CoV-1,NSP1,Q6IEG0
SARS-CoV-1,NSP1,Q93009
SARS-CoV-1,NSP10,Q9Y2D1
SARS-CoV-1,NSP10,P20290
SARS-CoV-1,NSP10,Q86VG3
SARS-CoV-1,NSP10,P00403
SARS-CoV-1,NSP10,P03901
SARS-CoV-1,NSP12,Q8TD31
SARS-CoV-1,NSP12,Q9UQN3
SARS-CoV-1,NSP12,P09630
SARS-CoV-1,NSP12,P51948
SARS-CoV-1,NSP12,O95299
SARS-CoV-1,NSP12,Q99471
SARS-CoV-1,NSP12,P30876
SARS-CoV-1,NSP12,Q5SQN1
SARS-CoV-1,NSP12,Q99426
SARS-CoV-1,NSP12,Q15661
SARS-CoV-1,NSP12,P20231
SARS-CoV-1,NSP13,P35609
SARS-CoV-1,NSP13,P00813
SARS-CoV-1,NSP13,O75934
SARS-CoV-1,NSP13,O96017
SARS-CoV-1,NSP13,Q6PI48
SARS-CoV-1,NSP13,P17844
SARS-CoV-1,NSP13,Q7KZI7
SARS-CoV-1,NSP13,P27448
SARS-CoV-1,NSP13,Q92802
SARS-CoV-1,NSP13,Q56VL3
SARS-CoV-1,NSP13,P28340
SARS-CoV-1,NSP13,Q8N488
SARS-CoV-1,NSP13,P05155
SARS-CoV-1,NSP13,Q12824
SARS-CoV-1,NSP13,Q96EK4
SARS-CoV-1,NSP14,Q13561
SARS-CoV-1,NSP14,Q92499
SARS-CoV-1,NSP14,P05155
SARS-CoV-1,NSP15,P62937
SARS-CoV-1,NSP15,P06400
SARS-CoV-1,NSP2,Q8WXF8
SARS-CoV-1,NSP2,Q7L2H7
SARS-CoV-1,NSP2,O60573
SARS-CoV-1,NSP2,Q6Y7W6
SARS-CoV-1,NSP2,O14686
SARS-CoV-1,NSP2,Q7Z494
SARS-CoV-1,NSP2,Q15154
SARS-CoV-1,NSP2,P35232
SARS-CoV-1,NSP2,Q99623
SARS-CoV-1,NSP2,P05155
SARS-CoV-1,NSP2,Q15758
SARS-CoV-1,NSP2,Q7Z3Q1
