Virus Name,Virus Protein,Host protein
SARS-CoV-2,nsp8,Q96I59
SARS-CoV-2,nsp8,Q9BSC4
SARS-CoV-2,nsp8,Q9H6F5
SARS-CoV-2,nsp8,Q9HD40
SARS-CoV-2,nsp8,Q9NQT4
SARS-CoV-2,nsp8,Q9NQT5
SARS-CoV-2,nsp8,Q9NY61
SARS-CoV-2,nsp8,Q9ULT8
SARS-CoV-2,nsp8,Q9Y399
SARS-CoV-2,nsp8,P82675
SARS-CoV-2,nsp8,Q13868
SARS-CoV-2,nsp8,Q92552
SARS-CoV-2,nsp9,P13984
SARS-CoV-2,nsp9,P35555
SARS-CoV-2,nsp9,P35556
SARS-CoV-2,nsp9,P35658
SARS-CoV-2,nsp9,P37198
SARS-CoV-2,nsp9,P61962
SARS-CoV-2,nsp9,Q15056
SARS-CoV-2,nsp9,Q7Z3B4
SARS-CoV-2,nsp9,Q86YT6
SARS-CoV-2,nsp9,Q8N0X7
SARS-CoV-2,nsp9,Q8TD19
SARS-CoV-2,nsp9,Q96F45
SARS-CoV-2,nsp9,Q99567
SARS-CoV-2,nsp9,Q9BVL2
SARS-CoV-2,nsp9,Q9NZL9
SARS-CoV-2,nsp9,Q9UBX5
SARS-CoV-2,orf10,P50897
SARS-CoV-2,orf10,Q13617
SARS-CoV-2,orf10,Q3KQU3
SARS-CoV-2,orf10,Q9BU02
SARS-CoV-2,orf10,Q9C0D3
SARS-CoV-2,orf10,Q9Y5J9
SARS-CoV-2,orf10,P62877
SARS-CoV-2,orf10,Q15369
SARS-CoV-2,orf10,Q15370
SARS-CoV-2,orf3a,P09601
SARS-CoV-2,orf3a,Q8IWR1
SARS-CoV-2,orf3a,Q8N6S5
SARS-CoV-2,orf3a,Q96JC1
SARS-CoV-2,orf3a,Q96S66
SARS-CoV-2,orf3a,Q9H270
SARS-CoV-2,orf3a,Q9UH99
SARS-CoV-2,orf3a,Q9Y673
SARS-CoV-2,orf3b,Q9UJZ1
SARS-CoV-2,orf6,P52948
SARS-CoV-2,orf6,P78406
SARS-CoV-2,orf6,Q9NZJ7
SARS-CoV-2,orf7a,Q7Z4Q2
SARS-CoV-2,orf7a,Q9NU22
SARS-CoV-2,orf8,O00469
SARS-CoV-2,orf8,O14656
SARS-CoV-2,orf8,O76061
SARS-CoV-2,orf8,P00750
SARS-CoV-2,orf8,P05556
SARS-CoV-2,orf8,P0C7P0
SARS-CoV-2,orf8,P12109
SARS-CoV-2,orf8,P15151
SARS-CoV-2,orf8,P26358
SARS-CoV-2,orf8,P28300
SARS-CoV-2,orf8,P29122
SARS-CoV-2,orf8,P58166
SARS-CoV-2,orf8,P61916
SARS-CoV-2,orf8,Q08431
SARS-CoV-2,orf8,Q13438
SARS-CoV-2,orf8,Q15818
SARS-CoV-2,orf8,Q6UW63
SARS-CoV-2,orf8,Q7Z4H8
SARS-CoV-2,orf8,Q86YB8
SARS-CoV-2,orf8,Q8IV08
SARS-CoV-2,orf8,Q8IWF2
SARS-CoV-2,orf8,Q8IZ52
SARS-CoV-2,orf8,Q8N0Z8
SARS-CoV-2,orf8,Q8N766
SARS-CoV-2,orf8,Q92820
SARS-CoV-2,orf8,Q96DZ1
SARS-CoV-2,orf8,Q96F46
SARS-CoV-2,orf8,Q96IV0
SARS-CoV-2,orf8,Q96MM7
SARS-CoV-2,orf8,Q99470
SARS-CoV-2,orf8,Q99519
SARS-CoV-2,orf8,Q99988
SARS-CoV-2,orf8,Q9BRN9
SARS-CoV-2,orf8,Q9BS26
SARS-CoV-2,orf8,Q9BZQ6
SARS-CoV-2,orf8,Q9H173
SARS-CoV-2,orf8,Q9H488
SARS-CoV-2,orf8,Q9H4F8
SARS-CoV-2,orf8,Q9H8W4
SARS-CoV-2,orf8,Q9NXK8
SARS-CoV-2,orf8,Q9NYU1
SARS-CoV-2,orf8,Q9P2E5
SARS-CoV-2,orf8,Q9UHI8
SARS-CoV-2,orf8,Q9Y4L1
SARS-CoV-2,orf8,Q9Y680
SARS-CoV-2,orf8,Q13443
SARS-CoV-2,orf8,Q96AY3
SARS-CoV-2,orf9b,O14745
SARS-CoV-2,orf9b,O43633
SARS-CoV-2,orf9b,O75534
SARS-CoV-2,orf9b,O94826
SARS-CoV-2,orf9b,P27448
SARS-CoV-2,orf9b,Q7KZI7
SARS-CoV-2,orf9b,Q9H2P9
SARS-CoV-2,orf9b,Q9H773
SARS-CoV-2,orf9b,Q9P0L2
SARS-CoV-2,orf9b,Q9UKA9
SARS-CoV-2,orf9b,Q9UL15
SARS-CoV-2,orf9c,O00124
SARS-CoV-2,orf9c,O43292
SARS-CoV-2,orf9c,O76024
SARS-CoV-2,orf9c,P33527
SARS-CoV-2,orf9c,P55085
SARS-CoV-2,orf9c,Q12770
SARS-CoV-2,orf9c,Q2PZI1
SARS-CoV-2,orf9c,Q5BJF2
SARS-CoV-2,orf9c,Q6NXT4
SARS-CoV-2,orf9c,Q6NXT6
SARS-CoV-2,orf9c,Q7Z2K6
SARS-CoV-2,orf9c,Q86UT6
SARS-CoV-2,orf9c,Q86VR2
SARS-CoV-2,orf9c,Q8TEQ8
SARS-CoV-2,orf9c,Q96K12
SARS-CoV-2,orf9c,Q9BQ95
SARS-CoV-2,orf9c,Q9BVK2
SARS-CoV-2,orf9c,Q9GZU3
SARS-CoV-2,orf9c,Q9H3K2
SARS-CoV-2,orf9c,Q9H845
SARS-CoV-2,orf9c,Q9NV92
SARS-CoV-2,orf9c,Q9Y276
SARS-CoV-2,orf9c,Q9Y375
SARS-CoV-2,orf9c,Q9Y3A6
SARS-CoV-2,orf9c,Q9Y6M9
SARS-CoV-2,orf9c,Q96S52

